Measures,Text 1
Language,en
Proper noun-noun ratio (Sent Min),0.00
Verb-noun ratio (Doc),1.40
Verb-noun ratio (Sent Avg),1.32
Verb-noun ratio (Sent SD),1.23
Verb-noun ratio (Sent Max),4.00
Verb-noun ratio (Sent Min),0.00
Adposition-noun ratio (Doc),0.64
Adposition-noun ratio (Sent Avg),0.48
Adposition-noun ratio (Sent SD),0.46
Adposition-noun ratio (Sent Max),1.50
Adposition-noun ratio (Sent Min),0.00
Conjunction-noun ratio (Doc),0.46
Conjunction-noun ratio (Sent Avg),0.38
Conjunction-noun ratio (Sent SD),0.46
Conjunction-noun ratio (Sent Max),1.50
Conjunction-noun ratio (Sent Min),0.00
Determiner-noun ratio (Doc),0.53
Determiner-noun ratio (Sent Avg),0.50
Determiner-noun ratio (Sent SD),0.43
Determiner-noun ratio (Sent Max),1.00
Determiner-noun ratio (Sent Min),0.00
Numeral-noun ratio (Doc),0.037
Numeral-noun ratio (Sent Avg),0.025
Numeral-noun ratio (Sent SD),0.097
Numeral-noun ratio (Sent Max),0.50
Numeral-noun ratio (Sent Min),0.00
Pronoun-noun ratio (Doc),1.12
Pronoun-noun ratio (Sent Avg),0.94
Pronoun-noun ratio (Sent SD),0.90
Pronoun-noun ratio (Sent Max),4.00
Pronoun-noun ratio (Sent Min),0.00
Adverb-verb ratio (Doc),0.22
Adverb-verb ratio (Sent Avg),0.26
Adverb-verb ratio (Sent SD),0.44
