Measures	Text 1
Language	en
Word entropy (Sent Avg)	3.53
Word entropy (Sent SD)	0.71
Word entropy (Sent Max)	4.67
Word entropy (Sent Min)	2.25
Zipf steepness of curve (Doc)	0.73
Zipf goodness of fit (Doc)	0.92
Zipf frequency (Doc)	5.53
Zipf frequency (Sent Avg)	5.46
Zipf frequency (Sent SD)	0.46
Zipf frequency (Sent Max)	6.22
Zipf frequency (Sent Min)	4.29
Average contextual diversity (Doc)	15.35
Average contextual diversity (Sent Avg)	14.75
Average contextual diversity (Sent SD)	5.66
Average contextual diversity (Sent Max)	30.30
Average contextual diversity (Sent Min)	2.61
Frequent word count (Doc)	249.00
Frequent word count (Sent Avg)	6.73
Frequent word count (Sent SD)	3.67
Frequent word count (Sent Max)	15.00
Frequent word count (Sent Min)	1.00
Infrequent word count (Doc)	92.00
Infrequent word count (Sent Avg)	2.49
Infrequent word count (Sent SD)	1.69
Infrequent word count (Sent Max)	8.00
Infrequent word count (Sent Min)	0.00
Unknown word count (Doc)	14.00
Unknown word count (Sent Avg)	0.38
Unknown word count (Sent SD)	0.55
Unknown word count (Sent Max)	2.00
Unknown word count (Sent Min)	0.00
Frequent word incidence (Doc)	454.38
Frequent word incidence (Sent Avg)	445.10
Frequent word incidence (Sent SD)	87.32
Frequent word incidence (Sent Max)	615.38
Frequent word incidence (Sent Min)	200.00
Infrequent word incidence (Doc)	167.88
Infrequent word incidence (Sent Avg)	182.53
Infrequent word incidence (Sent SD)	123.96
Infrequent word incidence (Sent Max)	600.00
Infrequent word incidence (Sent Min)	0.00
Unknown word incidence (Doc)	25.55
Unknown word incidence (Sent Avg)	30.35
Unknown word incidence (Sent SD)	52.27
Unknown word incidence (Sent Max)	200.00
Unknown word incidence (Sent Min)	0.00
Word-lemma Levenshtein dist. (Doc)	0.50
Word-lemma Levenshtein dist. (Sent Avg)	0.53
Word-lemma Levenshtein dist. (Sent SD)	0.25
Word-lemma Levenshtein dist. (Sent Max)	1.12
Word-lemma Levenshtein dist. (Sent Min)	0.00
Word types per lemma (Doc)	1.07
Word types per lemma (Sent Avg)	1.02
Word types per lemma (Sent SD)	0.043
Word types per lemma (Sent Max)	1.17
Word types per lemma (Sent Min)	1.00
Word types per lemma (nouns) (Doc)	1.05
Word types per lemma (nouns) (Sent Avg)	0.92
Word types per lemma (nouns) (Sent SD)	0.28
Word types per lemma (nouns) (Sent Max)	1.00
Word types per lemma (nouns) (Sent Min)	0.00
Word types per lemma (verbs) (Doc)	1.11
Word types per lemma (verbs) (Sent Avg)	0.98
Word types per lemma (verbs) (Sent SD)	0.17
Word types per lemma (verbs) (Sent Max)	1.20
Word types per lemma (verbs) (Sent Min)	0.00
Word types per lemma (lexical items) (Doc)	1.05
Word types per lemma (lexical items) (Sent Avg)	1.00
Word types per lemma (lexical items) (Sent SD)	0.018
Word types per lemma (lexical items) (Sent Max)	1.11
Word types per lemma (lexical items) (Sent Min)	1.00
Word types per lemma (grammatical items) (Doc)	1.14
Word types per lemma (grammatical items) (Sent Avg)	1.04
Word types per lemma (grammatical items) (Sent SD)	0.11
Word types per lemma (grammatical items) (Sent Max)	1.50
Word types per lemma (grammatical items) (Sent Min)	1.00
Adjective length (Doc)	5.65
Adjective length (Sent Avg)	4.68
Adjective length (Sent SD)	2.34
Adjective length (Sent Max)	8.00
Adjective length (Sent Min)	0.00
Adverb length (Doc)	4.09
Adverb length (Sent Avg)	1.82
Adverb length (Sent SD)	2.24
Adverb length (Sent Max)	7.00
Adverb length (Sent Min)	0.00
Interjection length (Doc)	0.00
Interjection length (Sent Avg)	0.0
Interjection length (Sent SD)	0.0
Interjection length (Sent Max)	0.00
Interjection length (Sent Min)	0.00
Lexical verb length (Doc)	6.08
Lexical verb length (Sent Avg)	5.61
Lexical verb length (Sent SD)	2.46
